Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,Iceberg,NPP
-1.7370263,0.00152603,341.86655,41.344695,26.157679,8.045992,1.8572283,33.695133,38.058434,2.801237,0.20695055,5.2132406,0.034136025,3.312896544,1.099008
-1.7185681,0.00158077,342.065,41.53637,26.200099,8.047759,1.8596457,33.742027,38.159992,2.809949,0.22459185,5.2164188,0.03337678,2.656424851,1.544832
-1.7022845,0.00176677,342.93675,41.717757,26.253307,8.04791,1.863114,33.791664,38.26905,2.866888,0.2627049,5.232733,0.032724696,2.574488621,2.011392
-1.6618888,0.00243768,330.00612,40.824994,25.237322,8.078377,1.7979549,33.28742,37.118755,1.736643,0.20104252,5.2317064,0.030597843,3.145113446,0.782784
-1.6597792,0.00159464,338.90042,40.715974,25.739456,8.05255,1.8305947,33.408047,37.558834,2.986417,0.12381735,5.2231094,0.034846184,2.417507856,0.7019136
-1.7516154,0.00142527,342.30775,41.30214,26.181113,8.044627,1.8595628,33.733883,38.07868,2.417722,0.16344649,5.2267048,0.03593873,3.3514992,0.6801408
-1.7493614,0.00137207,341.52293,41.48446,26.234476,8.047054,1.8625382,33.719833,38.13796,2.083095,0.13519812,5.213231,0.03556885,1.788276269,0.5246208
-1.7441515,0.00138766,340.91687,41.650493,26.252327,8.049383,1.8629853,33.679768,38.1448,2.003918,0.14949213,5.2009304,0.03502186,1.996029043,0.6759936
-1.7210813,0.00144906,341.0777,41.811183,26.253484,8.050721,1.8624733,33.66998,38.147434,2.134016,0.1771753,5.2026846,0.03437913,1.626285686,1.337472
-1.6768358,0.00156394,342.1152,41.825708,26.174095,8.0498085,1.8568919,33.621655,38.015717,2.262896,0.23188353,5.2298214,0.03387411,1.267209446,3.1104
-1.7077643,0.00175787,342.69074,41.710418,26.049275,8.050594,1.848366,33.55523,37.7628,2.389109,0.23777547,5.2579218,0.033978078,2.518238419,3.286656
-1.6413105,0.002385,331.6411,41.103944,25.272718,8.060969,1.8006873,33.351166,37.26368,0.79482,0.21937148,5.248408,0.029826158,2.539364429,0.8325504
-1.6587571,0.00202259,331.00387,41.194353,25.424857,8.065555,1.810942,33.273327,37.291092,1.10998,0.116291136,5.257733,0.03090368,2.028726778,0.373248
-1.672438,0.00182448,332.02967,41.2511,25.557144,8.059839,1.8195356,33.278763,37.401733,1.299987,0.12189528,5.2602575,0.03181639,2.551556074,0.373248
-1.6610796,0.00172078,332.89424,41.15395,25.603207,8.052583,1.8220578,33.230087,37.41504,1.7275,0.10501276,5.244193,0.032548945,2.801172672,0.3120768
-1.640069,0.00163879,333.9257,40.97526,25.619496,8.048834,1.8226297,33.19081,37.41263,2.017281,0.10008933,5.2231806,0.033388962,2.73185784,0.2975616
-1.6423187,0.00152782,335.4129,40.907722,25.70115,8.046018,1.8278105,33.2694,37.509937,2.183691,0.09249768,5.2127005,0.034394827,2.097088531,0.2820096
-1.6533811,0.0014887,336.8104,40.897667,25.796782,8.044433,1.8338981,33.342327,37.598522,2.33159,0.085407004,5.202433,0.03533506,1.074836218,0.2716416
-1.6858339,0.00143714,338.77516,41.034956,25.94678,8.043148,1.8438332,33.47514,37.772045,2.336802,0.09080923,5.205388,0.035985424,1.287470851,0.3245184
-1.728181,0.00136634,340.2414,41.264374,26.112296,8.042447,1.8548259,33.620594,37.975777,1.999815,0.09359117,5.212396,0.036303896,2.164371062,0.3359232
-1.7479962,0.00131949,340.80094,41.52671,26.242774,8.043049,1.863216,33.71171,38.14572,1.650691,0.09581258,5.213382,0.036300728,1.481318669,0.3089664
-1.7534286,0.00130716,340.63905,41.772917,26.317526,8.0463,1.8676351,33.719032,38.235798,1.541294,0.110322386,5.2060084,0.035996916,1.070265398,0.36288
-1.7418162,0.00133917,340.2143,41.979324,26.34801,8.049785,1.8689266,33.673706,38.25373,1.615097,0.12500124,5.1964666,0.035610432,0.884067696,0.5360256
-1.7212051,0.00139557,340.24662,42.06681,26.299996,8.051202,1.8650956,33.607628,38.13136,1.692842,0.13648829,5.2007306,0.035496734,0.700428082,1.14048
-1.6704574,0.00147283,341.8305,41.83243,26.086474,8.052036,1.8509082,33.493233,37.723618,1.802261,0.1802198,5.2644913,0.036885725,0.602109331,3.514752
-1.6426456,0.00157058,344.85394,41.32571,25.752325,8.052014,1.8295469,33.427944,37.17958,1.967267,0.24089642,5.4146033,0.041119594,1.947394829,7.527168
-1.6507077,0.00173925,346.88088,40.911403,25.506064,8.053321,1.8139248,33.432316,36.835392,2.103458,0.25571704,5.535084,0.045115823,2.489911661,9.621504
-1.6719745,0.00217785,332.53133,41.655254,25.548961,8.057449,1.8198531,33.49039,37.597866,0.568907,0.14086477,5.2888277,0.030215471,2.18865024,0.497664
-1.682149,0.0017259,331.95856,41.783202,25.680592,8.052367,1.8282976,33.365322,37.608246,0.548153,0.09380769,5.287347,0.031232146,1.410520954,0.2426112
-1.6878986,0.00154487,332.44693,41.90058,25.81466,8.046684,1.8367321,33.382256,37.74654,0.595218,0.06775604,5.2845143,0.03200246,1.483439702,0.150336
