Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,spCO2,Chla,PAR,DOC,NH4,NPP
10.493761,8.59E-05,286.71938,2.9993688,10.094841,8.050509,0.79982396,34.259697,37.28623,0.399617501,0.5508941,11.96325,0.6201688,7.711426022
10.475685,8.34E-05,286.84026,3.0266596,10.164912,8.0512495,0.8041249,34.246708,37.343643,0.403411657,0.5658716,11.959613,0.6136667,7.808394816
10.954107,8.25E-05,284.20553,2.7114726,9.460068,8.048474,0.7581639,34.27698,37.368954,0.385564575,0.5724273,12.182922,0.6356519,7.966650931
10.952086,8.07E-05,284.20457,2.7317058,9.509003,8.048128,0.7607468,34.278915,37.428185,0.388013428,0.57267225,12.16735,0.6275149,7.896196224
10.952587,7.87E-05,284.22558,2.762971,9.582282,8.049042,0.765225,34.269035,37.505314,0.389579217,0.56638926,12.149254,0.620676,7.70973666
10.857311,7.69E-05,284.55576,2.8080305,9.689062,8.049576,0.7720539,34.254215,37.49317,0.391016295,0.5616944,12.109347,0.6146948,7.52517216
10.801016,7.46E-05,284.92108,2.8517484,9.788518,8.050513,0.7786663,34.22854,37.524593,0.392212741,0.58134216,12.094757,0.6100656,7.640570696
10.787724,7.24E-05,285.1369,2.8923508,9.883171,8.05126,0.78545505,34.201225,37.62601,0.390192549,0.58648425,12.094346,0.6115753,7.555271501
10.733572,7.05E-05,285.40275,2.9302626,9.9769,8.051607,0.79248485,34.17725,37.666744,0.388777855,0.5905285,12.086666,0.6169039,7.402267296
10.735028,7.00E-05,285.53903,2.9590244,10.0528,8.051668,0.7984483,34.163593,37.78797,0.385260147,0.5951872,12.0888455,0.6242749,7.336368806
11.053191,0.000111494,282.50882,2.4884723,8.622667,8.058751,0.69731416,34.40069,36.22774,0.519564308,0.50824064,12.198619,0.5885796,9.22959049
11.192335,9.01E-05,282.91324,2.4900192,8.90699,8.046345,0.72159636,34.30873,36.956352,0.471900086,0.5969863,12.286119,0.6334158,9.201100262
11.247809,8.82E-05,282.71228,2.480502,8.89211,8.046006,0.7210715,34.308037,37.05655,0.459830418,0.60305333,12.323352,0.6398437,9.127829606
11.309258,8.66E-05,282.45488,2.472844,8.875258,8.045524,0.72037155,34.3052,37.159824,0.445956567,0.6105525,12.359828,0.6466606,9.088068326
11.497245,7.75E-05,281.38837,2.4684207,8.890721,8.04362,0.7205,34.311565,37.623234,0.387876883,0.6037322,12.439022,0.6456181,8.385538867
11.4582205,7.63E-05,281.53068,2.4969568,8.95465,8.044401,0.7242057,34.310787,37.65996,0.385177325,0.60025454,12.418248,0.63828746,8.258713344
11.418008,7.51E-05,281.7148,2.5344123,9.038869,8.045389,0.72929374,34.30522,37.707882,0.380116212,0.59659666,12.381771,0.6303931,8.119606925
11.375258,7.35E-05,281.94115,2.5768648,9.129682,8.045903,0.7350525,34.291367,37.753933,0.378307552,0.6001444,12.3517625,0.6237037,8.090612813
