lat,lon,Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,NPP
-19.605793,-39.5,23.61638,0.001788752,213.16391,1.7671766,0.006091771,8.071378,0.006921332,36.984955,35.37838,0.110858324,0.415344,29.656768,0.003755237,3.161746483
-19.605793,-38.5,23.688042,0.000994714,212.66183,1.5512387,0.0008891,8.073156,0.008052534,37.20715,35.79541,0.08363487,0.4086778,29.546984,0.001045987,0.938491816
-19.605793,-37.5,23.883663,0.0005955,212.63312,1.4828925,0.000293988,8.066965,0.00977909,37.315525,36.440655,0.097967415,0.38909245,29.083133,0.000851717,0.646741812
-19.605793,-36.5,23.73095,0.000502631,212.79728,1.4667935,0.00017113,8.069675,0.010070017,37.317387,36.263382,0.095214826,0.3793228,29.341517,0.000762776,0.542421681
-19.605793,-35.5,23.66164,0.000461554,213.01375,1.4594637,0.000142238,8.071551,0.010370824,37.334686,36.239662,0.09080847,0.3797707,29.493324,0.00072261,0.508605506
-19.605793,-34.5,23.577099,0.00043371,213.34484,1.4508024,0.000167477,8.071132,0.011179866,37.37078,36.313477,0.09157368,0.38022316,29.276751,0.000711654,0.494509329
-19.605793,-33.5,23.505697,0.00041474,213.6157,1.4432553,0.00023199,8.071328,0.011978908,37.412266,36.406944,0.10111072,0.37746507,29.000314,0.000715699,0.490153006
-19.605793,-32.5,23.410036,0.000394723,213.96373,1.4342815,0.000340038,8.071126,0.012903265,37.433342,36.50152,0.10400273,0.3799963,28.605327,0.000712027,0.489773226
-19.605793,-31.5,23.28242,0.000370386,214.46764,1.4212923,0.000573494,8.071882,0.014003082,37.42102,36.540974,0.104923834,0.3821939,28.078698,0.00070956,0.497327351
-19.605793,-30.5,23.183605,0.000346102,214.90437,1.4038594,0.000595747,8.071726,0.01497685,37.401314,36.625435,0.1075293,0.3871583,27.540587,0.000679771,0.476276102
-19.605793,-29.5,23.067738,0.000317134,215.40155,1.3763116,0.000771442,8.070302,0.016320224,37.380047,36.740173,0.11096851,0.38254544,26.864788,0.000660801,0.461691187
-19.605793,-28.5,22.983103,0.000286365,215.87537,1.3386384,0.000738432,8.069839,0.017890377,37.344524,36.918423,0.11050012,0.38689035,26.124956,0.00061287,0.429183464
-19.605793,-27.5,22.788847,0.000252037,216.67536,1.2896027,0.000960463,8.06944,0.020295452,37.283978,36.976913,0.107389875,0.38238442,25.22246,0.000586236,0.409368972
-19.605793,-26.5,22.616222,0.000224514,217.44479,1.2453134,0.000818203,8.068893,0.022563741,37.208454,37.017147,0.095554286,0.37356263,24.448803,0.000551261,0.360163397
-19.605793,-25.5,22.437582,0.000207113,218.25987,1.2196581,0.000678764,8.068582,0.024377905,37.120136,36.940147,0.08652021,0.36720508,23.900373,0.000534781,0.325023881
-19.605793,-24.5,22.231245,0.00020063,218.99986,1.2151656,0.000717627,8.06814,0.025298852,37.04333,36.679783,0.08441468,0.37029016,23.656957,0.000517218,0.314757986
-19.605793,-23.5,22.206146,0.000208522,219.07252,1.2484215,0.00043062,8.068072,0.024331515,37.005264,36.49755,0.08181446,0.3710093,23.86189,0.000519335,0.294784998
-19.605793,-22.5,22.202742,0.00021581,219.19578,1.2841565,0.000372928,8.068924,0.023551136,36.97773,36.359894,0.07970742,0.37171906,24.057975,0.000542114,0.298352803
-19.605793,-21.5,22.209484,0.000221486,219.22866,1.3137773,0.000290281,8.070725,0.022835406,36.94893,36.257214,0.076880366,0.3754297,24.2519,0.000543933,0.298074215
-19.605793,-20.5,22.146921,0.000218995,219.56874,1.3195521,0.00027653,8.072273,0.023400009,36.89946,36.20612,0.083706786,0.37306008,24.218578,0.000575317,0.2967747
-19.605793,-19.5,22.005878,0.000203502,220.18689,1.2898877,0.000286944,8.072887,0.02590902,36.846718,36.199783,0.09000754,0.3711469,23.823293,0.000551921,0.283313065
-19.605793,-18.5,21.847565,0.000181237,220.9591,1.2311134,0.000302108,8.073833,0.029592553,36.800697,36.28392,0.097867494,0.37502307,23.263114,0.000484542,0.265007075
-19.605793,-17.5,21.642084,0.000155406,221.84551,1.1600266,0.000394138,8.074463,0.03400002,36.755054,36.347294,0.105222854,0.3711796,22.62642,0.000455033,0.248364994
-19.605793,-16.5,21.529676,0.000134118,222.39956,1.0990491,0.000441008,8.076579,0.037905666,36.727806,36.47475,0.11966415,0.36934805,22.16978,0.000429957,0.237525281
-19.605793,-15.5,21.429117,0.000116511,222.9658,1.051575,0.000657246,8.077632,0.041281746,36.702072,36.552246,0.12993325,0.37835923,21.84543,0.000416839,0.249246751
-19.605793,-14.5,21.286371,0.000102644,223.64694,1.020306,0.001078593,8.078196,0.043935263,36.6817,36.469948,0.14484033,0.3870433,21.66671,0.00043,0.28397162
