Temperature,Fe,O2,Silicate,Nitrate,pH,Phosphate,Salinity,SPCO2,Chla,PAR,DOC,NH4,Iceberg,NPP
23.29539,0.000345745,214.47939,1.4142774,0.000155836,8.072169,0.012770905,37.26025,36.440872,0.07326389,0.3829246,28.053686,0.000618992,0,0.414555916
23.17755,0.000318336,214.94627,1.385322,0.000161766,8.070924,0.014088557,37.24919,36.549313,0.07611754,0.3794495,27.396316,0.000596455,0,0.38841543
23.308798,0.000328473,214.48207,1.3977336,0.000146204,8.07278,0.011010682,37.023632,36.1014,0.057037236,0.39462793,28.320434,0.000573463,0,0.424629392
23.964138,0.00063626,212.57831,1.4977439,0.000442481,8.065648,0.007829074,37.02506,36.12505,0.06916993,0.44685674,29.915368,0.00075168,0,0.759524429
23.717548,0.000380527,213.4119,1.3999122,0.00013559,8.070611,0.007393685,36.745815,35.80331,0.055329467,0.41288474,29.488498,0.000559488,0,0.515519925
23.56204,0.000355872,213.76897,1.3941713,0.000135087,8.073322,0.008093158,36.76387,35.76984,0.054350356,0.41152668,29.2199,0.000546279,0,0.483909739
23.579245,0.000338429,213.86659,1.3903119,0.000135998,8.0713625,0.008665922,36.820667,35.969093,0.05355948,0.40673465,28.998751,0.000554938,0,0.473918346
23.448448,0.000323228,214.20181,1.3778881,0.0001409,8.072756,0.009067892,36.777,35.83038,0.052738123,0.408091,28.749932,0.000544211,0,0.45776749
23.948202,0.000586831,212.58798,1.4955946,0.000881191,8.068534,0.007276922,36.95143,36.049946,0.0637561,0.44163316,30.085016,0.000697161,0,0.764686656
23.960484,0.000398186,212.57892,1.3680131,0.000140052,8.068572,0.006075093,36.585247,35.786015,0.056253175,0.4219721,29.618915,0.000557375,0,0.56574682
23.687553,0.000351679,213.33387,1.3543541,0.000136473,8.07201,0.006885824,36.60936,35.646667,0.054921595,0.41568545,29.251179,0.000529825,0,0.511017984
23.704454,0.000325818,213.56662,1.3478171,0.000132556,8.071794,0.007568448,36.662926,35.866238,0.054141,0.41302422,28.983174,0.000527486,0,0.495630255
23.64949,0.000308693,213.716,1.338174,0.000136609,8.07288,0.007904017,36.64462,35.849667,0.053484546,0.41039148,28.79873,0.000525631,0,0.482071492
23.665174,0.000295424,213.73206,1.3272129,0.000153069,8.073862,0.008045698,36.665043,35.945076,0.05322964,0.40858862,28.640937,0.000526867,0,0.480488641
23.608854,0.000284442,213.8709,1.3174313,0.000160583,8.0749855,0.008330289,36.661797,35.937836,0.053261385,0.4120986,28.446317,0.000520828,0,0.475616158
23.605545,0.000276369,213.95077,1.3131034,0.000168266,8.0758505,0.008647432,36.686543,36.014347,0.053107276,0.41520658,28.245209,0.000519223,0,0.474656641
23.550026,0.000270524,214.14496,1.3139462,0.000169207,8.075417,0.009001838,36.710785,36.027187,0.053085252,0.41794306,28.037772,0.00051668,0,0.469499328
23.475739,0.000265977,214.41568,1.3223691,0.000170235,8.075844,0.009408212,36.74418,36.026188,0.052922547,0.42002296,27.815554,0.000512774,0,0.4596188
24.044928,0.000571725,212.32277,1.5075736,0.002108558,8.067078,0.006431285,36.77473,35.928,0.06305621,0.45403776,30.345812,0.000652474,0,0.924239559
24.138115,0.000515046,211.98677,1.4366602,0.000250801,8.069769,0.005403845,36.464844,35.696426,0.058735735,0.43333972,30.495316,0.000611407,0,0.653874094
24.417992,0.000513776,211.23566,1.3972239,0.000160803,8.065075,0.004977784,36.49751,36.09451,0.058692214,0.4141535,30.340968,0.000627589,0,0.650088012
24.41955,0.000441796,211.14582,1.3494657,0.000142934,8.06288,0.005209125,36.476673,36.13528,0.05761792,0.42414278,29.842805,0.000605981,0,0.643315561
24.075052,0.000369211,212.05086,1.3187235,0.000143785,8.066919,0.00596936,36.52159,35.92042,0.056526485,0.4193251,29.367235,0.000556529,0,0.571094665
23.976053,0.00032823,212.55973,1.3096777,0.000134819,8.068885,0.006569213,36.57255,35.98113,0.055900575,0.41535237,29.06252,0.000532863,0,0.535082112
23.935595,0.000305698,212.81305,1.3004298,0.000135562,8.07114,0.006910732,36.56048,35.997326,0.055309378,0.41674212,28.87478,0.000522908,0,0.522383354
23.917376,0.000291142,212.95151,1.2912203,0.000145761,8.071866,0.007052697,36.583897,36.04408,0.055172768,0.41485354,28.75578,0.000520188,0,0.514841941
23.863466,0.000281068,213.05256,1.2818691,0.000150534,8.07244,0.00710407,36.578537,36.00157,0.055442226,0.41477033,28.653318,0.000515803,0,0.506581102
23.857424,0.000274929,213.09583,1.276865,0.000163437,8.07254,0.007198414,36.589905,36.03844,0.05532471,0.4167795,28.529346,0.000516769,0,0.507889751
23.818773,0.000271338,213.24165,1.278194,0.00016852,8.0719,0.007377076,36.60913,36.05062,0.055160377,0.4178603,28.382728,0.000516623,0,0.504061367
23.746939,0.000268651,213.50418,1.2879645,0.000165997,8.072339,0.007642177,36.639942,36.040672,0.05468902,0.4184708,28.209716,0.000514823,0,0.493419237
23.651844,0.000266032,213.86163,1.3034418,0.000162823,8.073559,0.007960881,36.67607,36.004936,0.05377114,0.41765705,28.006574,0.00051338,0,0.47860577
23.565178,0.000264088,214.2056,1.3199736,0.000166433,8.0734625,0.008191803,36.693077,35.95031,0.053111016,0.41557637,27.803795,0.000516935,0,0.468499127
23.50994,0.000264166,214.40378,1.3358868,0.000170042,8.073964,0.008198435,36.692795,35.88862,0.053007065,0.41773954,27.659478,0.000520699,0,0.467653482
23.51833,0.000266197,214.4299,1.3514512,0.000176536,8.074828,0.007940895,36.678913,35.877995,0.053578577,0.42371324,27.58844,0.000529682,0,0.481123432
23.502256,0.000267136,214.48152,1.3703099,0.000191684,8.0758,0.007817255,36.67748,35.846245,0.054780143,0.42547673,27.513029,0.000543175,0,0.491245171
23.398813,0.000264132,214.8864,1.4220327,0.000215432,8.07751,0.008334991,36.70436,35.78687,0.05953526,0.42902318,27.220333,0.000587814,0,0.515479956
23.328917,0.000261485,215.19321,1.4535518,0.000243514,8.07747,0.008846614,36.71921,35.758537,0.064677195,0.4392342,27.02745,0.000622276,0,0.547294787
23.233452,0.000256945,215.60325,1.4868897,0.000296755,8.077876,0.009549757,36.736195,35.719448,0.07191744,0.4518026,26.798869,0.000673461,0,0.596470667
23.126162,0.000252134,216.06593,1.5215373,0.000412827,8.078628,0.010323806,36.753376,35.66805,0.0799437,0.46180043,26.574023,0.000743201,0,0.666786505
24.064243,0.000617131,212.1089,1.5089766,0.000541126,8.067829,0.005709847,36.615776,35.646214,0.06265412,0.45044503,30.61509,0.00065483,0,0.743551654
24.331573,0.000569789,211.49428,1.4564419,0.000336182,8.068208,0.005053746,36.394356,35.732365,0.06011391,0.45069733,30.720536,0.000624354,0,0.719127943
24.638504,0.000588352,210.55087,1.4228732,0.00017743,8.063579,0.004640799,36.399204,36.162872,0.06052914,0.42588645,30.717285,0.000649081,0,0.706069198
24.84756,0.000501093,210.05097,1.3450702,0.000147165,8.0581665,0.004799455,36.410046,36.577892,0.059911486,0.42704546,30.047163,0.000654753,0,0.719794668
24.540041,0.000389168,210.57765,1.281385,0.000140625,8.060097,0.005700282,36.42901,36.378517,0.059275906,0.4160808,29.393038,0.000595987,0,0.627317862
24.342318,0.000336429,211.18492,1.2641714,0.000134431,8.061663,0.006218646,36.490425,36.29239,0.059139442,0.4143046,29.082915,0.000557236,0,0.578717457
24.289413,0.00030945,211.55709,1.256201,0.00013242,8.065697,0.006439973,36.474274,36.272877,0.05817932,0.42144194,28.918408,0.000535593,0,0.566150374
24.203009,0.000292494,211.92762,1.250805,0.000144094,8.067644,0.006485462,36.494663,36.210705,0.057551435,0.42600146,28.823283,0.0005274,0,0.559866754
24.140415,0.000282082,212.0834,1.2414567,0.000145724,8.069209,0.006431258,36.5064,36.15725,0.057627036,0.42074952,28.764423,0.000521988,0,0.543532032
24.152256,0.000278832,212.08014,1.2344599,0.000158509,8.069242,0.00636154,36.492256,36.181293,0.057572208,0.4233949,28.691681,0.000522304,0,0.548232624
24.150717,0.000280043,212.11101,1.235724,0.000169036,8.068257,0.006362462,36.50206,36.218266,0.057483576,0.42701858,28.605048,0.000523304,0,0.553518593
24.087168,0.000281914,212.33186,1.2459779,0.000170781,8.067891,0.006475636,36.526207,36.19324,0.056925066,0.42899057,28.504673,0.000522933,0,0.549352161
23.97945,0.00028272,212.6829,1.2626157,0.000171312,8.069065,0.006655031,36.57004,36.132877,0.055802502,0.42749566,28.383091,0.000522177,0,0.535658988
23.880625,0.000285501,213.02249,1.2805399,0.000176758,8.0687895,0.006791071,36.595703,36.064743,0.054942226,0.42527112,28.259428,0.000524301,0,0.525567357
23.831396,0.000294891,213.16846,1.2993359,0.000182652,8.06919,0.006656545,36.589443,35.997437,0.054558815,0.4294954,28.192999,0.000521547,0,0.52651832
23.880377,0.000310474,213.02952,1.3204229,0.000190645,8.069812,0.006245133,36.55833,36.011917,0.0549438,0.43538058,28.198242,0.000524938,0,0.542966769
23.912804,0.000321181,212.9483,1.3448928,0.000209258,8.0706835,0.006063065,36.545525,36.03348,0.055585413,0.43561986,28.150296,0.00053686,0,0.556995398
23.863497,0.000323788,213.05534,1.3713111,0.000215875,8.071562,0.006111912,36.566994,35.990685,0.056321955,0.43220747,28.047789,0.000547583,0,0.553373514
23.849241,0.000324024,213.1556,1.4004498,0.000230189,8.0723095,0.006217171,36.595448,36.012085,0.058004636,0.43451247,27.933132,0.000564157,0,0.56541915
23.81271,0.000322576,213.32332,1.4334343,0.000244002,8.072465,0.006417058,36.622387,36.00661,0.060995837,0.43776518,27.795726,0.000589042,0,0.58281064
23.763819,0.000317944,213.5688,1.4694147,0.00026884,8.073206,0.006742052,36.647133,36.000366,0.06549653,0.44634727,27.615903,0.000624299,0,0.61383039
23.675041,0.000308999,213.92538,1.50737,0.000312626,8.074086,0.007220794,36.685463,35.96745,0.07056806,0.44811958,27.39561,0.000681177,0,0.647299165
23.535366,0.000296749,214.46414,1.5460463,0.000403258,8.074512,0.00798654,36.723682,35.881943,0.079016405,0.4302186,27.111804,0.000828358,0,0.710234708
23.417078,0.000288753,214.9025,1.5848333,0.000639061,8.075664,0.00853821,36.729874,35.76107,0.08943368,0.44459128,26.882334,0.000932109,0,0.834359512
23.491087,0.000294836,214.77734,1.6278613,0.000627761,8.075132,0.008176997,36.727303,35.838165,0.08712014,0.45143872,26.835056,0.00091852,0,0.850463194
23.511261,0.0003108,214.7276,1.6761132,0.000613846,8.074451,0.007759412,36.725685,35.81483,0.0825924,0.446878,26.833124,0.000906457,0,0.833317248
23.58261,0.000344795,214.48621,1.733953,0.000525591,8.075596,0.007155764,36.70201,35.8031,0.08239865,0.45602587,26.9342,0.000832755,0,0.798426886
23.633991,0.000374748,214.37249,1.7935364,0.000511248,8.077708,0.006834506,36.689342,35.7988,0.08551765,0.46442297,27.031649,0.000795624,0,0.783606908
23.582554,0.000391715,214.57325,1.8501652,0.000479514,8.078856,0.006808843,36.69544,35.71469,0.08805668,0.46484298,27.083972,0.000787715,0,0.764611799
